trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Arabian Nights (2019),Will Smith,53829,hip hop,0.445,0.532,8,-8.018,1,0.0405,0.254,0.0,0.109,0.465,128.776,audio_features,6ZxPYutGhjLTrcmvcshCa4,spotify:track:6ZxPYutGhjLTrcmvcshCa4,https://api.spotify.com/v1/tracks/6ZxPYutGhjLTrcmvcshCa4,https://api.spotify.com/v1/audio-analysis/6ZxPYutGhjLTrcmvcshCa4,193096,4
first order of business,Baby Keem,108841,hip hop,0.963,0.309,6,-8.456,0,0.315,0.0605,1.9e-05,0.108,0.579,132.04,audio_features,4d6z0mKVcnhE5x0YWvTexh,spotify:track:4d6z0mKVcnhE5x0YWvTexh,https://api.spotify.com/v1/tracks/4d6z0mKVcnhE5x0YWvTexh,https://api.spotify.com/v1/audio-analysis/4d6z0mKVcnhE5x0YWvTexh,168759,4
Change,NF,4586251,hip hop,0.784,0.753,6,-4.099,0,0.213,0.438,0.0,0.167,0.532,116.959,audio_features,4cBlIM5AjnQ74f52Dv7T5K,spotify:track:4cBlIM5AjnQ74f52Dv7T5K,https://api.spotify.com/v1/tracks/4cBlIM5AjnQ74f52Dv7T5K,https://api.spotify.com/v1/audio-analysis/4cBlIM5AjnQ74f52Dv7T5K,234074,4
Day 'N' Nite (Nightmare),Kid Cudi,442480,hip hop,0.881,0.441,11,-6.278,0,0.0646,0.48,9.08e-06,0.119,0.804,138.014,audio_features,5wfllwdjglyQislkskYLBv,spotify:track:5wfllwdjglyQislkskYLBv,https://api.spotify.com/v1/tracks/5wfllwdjglyQislkskYLBv,https://api.spotify.com/v1/audio-analysis/5wfllwdjglyQislkskYLBv,221240,4
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,12735,hip hop,0.818,0.598,10,-5.948,0,0.113,0.0573,1.32e-06,0.634,0.331,111.052,audio_features,3Q5cLvkKsHJvYltf8k7HkO,spotify:track:3Q5cLvkKsHJvYltf8k7HkO,https://api.spotify.com/v1/tracks/3Q5cLvkKsHJvYltf8k7HkO,https://api.spotify.com/v1/audio-analysis/3Q5cLvkKsHJvYltf8k7HkO,231618,4
Hate Myself,NF,520054,hip hop,0.533,0.84,9,-5.283,0,0.167,0.234,0.0,0.114,0.361,116.882,audio_features,5PdEiev2BkKiZtZFcNKjfM,spotify:track:5PdEiev2BkKiZtZFcNKjfM,https://api.spotify.com/v1/tracks/5PdEiev2BkKiZtZFcNKjfM,https://api.spotify.com/v1/audio-analysis/5PdEiev2BkKiZtZFcNKjfM,260253,4
I Miss The Days,NF,5338567,hip hop,0.719,0.768,11,-5.658,0,0.19,0.345,0.0,0.104,0.0979,137.887,audio_features,3ebfDw8WEbf0DxGh47R2lo,spotify:track:3ebfDw8WEbf0DxGh47R2lo,https://api.spotify.com/v1/tracks/3ebfDw8WEbf0DxGh47R2lo,https://api.spotify.com/v1/audio-analysis/3ebfDw8WEbf0DxGh47R2lo,269185,4
Leave Me Alone,NF,745758,hip hop,0.722,0.741,1,-3.72,1,0.19,0.249,0.0,0.151,0.46,162.11,audio_features,3EtyEzMpfKSaoVhPunvbRV,spotify:track:3EtyEzMpfKSaoVhPunvbRV,https://api.spotify.com/v1/tracks/3EtyEzMpfKSaoVhPunvbRV,https://api.spotify.com/v1/audio-analysis/3EtyEzMpfKSaoVhPunvbRV,308652,4
Let Me Go,NF,477512,hip hop,0.554,0.337,9,-9.503,1,0.197,0.456,6.18e-06,0.115,0.137,173.877,audio_features,2PqSOrlabozEH6KXs7BvQr,spotify:track:2PqSOrlabozEH6KXs7BvQr,https://api.spotify.com/v1/tracks/2PqSOrlabozEH6KXs7BvQr,https://api.spotify.com/v1/audio-analysis/2PqSOrlabozEH6KXs7BvQr,277777,3
Lie,NF,209213,hip hop,0.513,0.661,5,-6.419,1,0.24,0.161,0.0,0.246,0.179,94.791,audio_features,07FkzikE6FuHIa8Ma7zJGc,spotify:track:07FkzikE6FuHIa8Ma7zJGc,https://api.spotify.com/v1/tracks/07FkzikE6FuHIa8Ma7zJGc,https://api.spotify.com/v1/audio-analysis/07FkzikE6FuHIa8Ma7zJGc,209213,4
Like This,NF,207640,hip hop,0.685,0.563,3,-5.456,0,0.0714,0.323,0.0,0.111,0.3,85.501,audio_features,5b1uZnebDRcR8XuBsDTPiO,spotify:track:5b1uZnebDRcR8XuBsDTPiO,https://api.spotify.com/v1/tracks/5b1uZnebDRcR8XuBsDTPiO,https://api.spotify.com/v1/audio-analysis/5b1uZnebDRcR8XuBsDTPiO,207640,4
My Stress,NF,505400,hip hop,0.653,0.796,7,-4.05,0,0.245,0.24,0.0,0.108,0.405,160.026,audio_features,0aQA9DP54h37OevE7hRc2a,spotify:track:0aQA9DP54h37OevE7hRc2a,https://api.spotify.com/v1/tracks/0aQA9DP54h37OevE7hRc2a,https://api.spotify.com/v1/audio-analysis/0aQA9DP54h37OevE7hRc2a,252712,4
Nate,NF,604048,hip hop,0.481,0.852,11,-4.109,0,0.441,0.661,0.0,0.365,0.537,84.799,audio_features,1SDtZ69uALD5zW8k9S8hTf,spotify:track:1SDtZ69uALD5zW8k9S8hTf,https://api.spotify.com/v1/tracks/1SDtZ69uALD5zW8k9S8hTf,https://api.spotify.com/v1/audio-analysis/1SDtZ69uALD5zW8k9S8hTf,302120,4
