trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A Night to Remember,High School Musical Cast,1514502,post-teen pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,audio_features,3RuXekS5criwismaaj87iF,spotify:track:3RuXekS5criwismaaj87iF,https://api.spotify.com/v1/tracks/3RuXekS5criwismaaj87iF,https://api.spotify.com/v1/audio-analysis/3RuXekS5criwismaaj87iF,236400,4
A Night to Remember - Original Version,High School Musical Cast,832507,post-teen pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,audio_features,2BHu6HOFXgHR936cj10XIi,spotify:track:2BHu6HOFXgHR936cj10XIi,https://api.spotify.com/v1/tracks/2BHu6HOFXgHR936cj10XIi,https://api.spotify.com/v1/audio-analysis/2BHu6HOFXgHR936cj10XIi,236400,4
Better Place,Rachel Platten,705267,post-teen pop,0.557,0.4,0,-8.16,1,0.0274,0.914,0.000897,0.107,0.348,100.205,audio_features,7xbXQeepclfQNqI3mLPb3c,spotify:track:7xbXQeepclfQNqI3mLPb3c,https://api.spotify.com/v1/tracks/7xbXQeepclfQNqI3mLPb3c,https://api.spotify.com/v1/audio-analysis/7xbXQeepclfQNqI3mLPb3c,176387,4
shut up,Greyson Chance,1085734,post-teen pop,0.822,0.448,9,-4.33,1,0.0465,0.296,3.28e-06,0.0683,0.45,105.01,audio_features,0vBlrSOT8xxEBgKay0Otr4,spotify:track:0vBlrSOT8xxEBgKay0Otr4,https://api.spotify.com/v1/tracks/0vBlrSOT8xxEBgKay0Otr4,https://api.spotify.com/v1/audio-analysis/0vBlrSOT8xxEBgKay0Otr4,170364,4
Can I Have This Dance,High School Musical Cast,12638,post-teen pop,0.555,0.619,0,-5.246,1,0.0296,0.203,0.0,0.265,0.426,136.069,audio_features,6YXG34IWbilypPwjBTOrUC,spotify:track:6YXG34IWbilypPwjBTOrUC,https://api.spotify.com/v1/tracks/6YXG34IWbilypPwjBTOrUC,https://api.spotify.com/v1/audio-analysis/6YXG34IWbilypPwjBTOrUC,243773,3
Good As Gold,Greyson Chance,228420,post-teen pop,0.48,0.587,2,-6.155,1,0.0351,0.302,0.0,0.104,0.236,84.846,audio_features,7sxiJ4a8uROYMvhkgGbQcK,spotify:track:7sxiJ4a8uROYMvhkgGbQcK,https://api.spotify.com/v1/tracks/7sxiJ4a8uROYMvhkgGbQcK,https://api.spotify.com/v1/audio-analysis/7sxiJ4a8uROYMvhkgGbQcK,205747,4
Hate How Much I Love You,Conor Maynard,175897,post-teen pop,0.779,0.42,0,-8.396,1,0.221,0.665,0.0,0.0862,0.688,105.076,audio_features,2v00WuRHH1WdnXxlHnyURi,spotify:track:2v00WuRHH1WdnXxlHnyURi,https://api.spotify.com/v1/tracks/2v00WuRHH1WdnXxlHnyURi,https://api.spotify.com/v1/audio-analysis/2v00WuRHH1WdnXxlHnyURi,175898,4
High School Musical,High School Musical Cast,394750,post-teen pop,0.529,0.931,0,-3.022,1,0.102,0.241,0.0,0.411,0.624,165.054,audio_features,5m4RHs0THdfyn579MONxcV,spotify:track:5m4RHs0THdfyn579MONxcV,https://api.spotify.com/v1/tracks/5m4RHs0THdfyn579MONxcV,https://api.spotify.com/v1/audio-analysis/5m4RHs0THdfyn579MONxcV,231093,4
I Want It All,High School Musical Cast,279320,post-teen pop,0.791,0.813,6,-3.444,1,0.139,0.179,0.0,0.0549,0.913,142.876,audio_features,5sTC1imYc0QzNe3i5snLy7,spotify:track:5sTC1imYc0QzNe3i5snLy7,https://api.spotify.com/v1/tracks/5sTC1imYc0QzNe3i5snLy7,https://api.spotify.com/v1/audio-analysis/5sTC1imYc0QzNe3i5snLy7,277307,4
Just Wanna Be With You,High School Musical Cast,328242,post-teen pop,0.547,0.723,2,-4.804,0,0.0323,0.312,0.0,0.112,0.377,102.003,audio_features,3SMxd9vNy41n9Xk4UFw36S,spotify:track:3SMxd9vNy41n9Xk4UFw36S,https://api.spotify.com/v1/tracks/3SMxd9vNy41n9Xk4UFw36S,https://api.spotify.com/v1/audio-analysis/3SMxd9vNy41n9Xk4UFw36S,156187,4
